@id,@lon,@lat,name
170690168,21.4327751,41.9988977,
170726142,21.4369203,41.9947303,
170728759,21.4280295,41.9946249,
170754815,21.4531176,41.9754426,
172080799,21.3881936,42.0134477,
172080802,21.3871629,42.0140460,
172256956,21.4421673,41.9919461,
287495834,21.4186032,42.0027786,
309882524,21.3925549,41.9981566,
309887744,21.4059374,41.9969865,
310084074,21.3869420,42.0071763,
310084344,21.3898022,42.0061356,
310084345,21.3904781,42.0060369,
310084400,21.3889008,42.0064891,
310084401,21.3867837,42.0065289,
310084403,21.3858069,42.0066652,
310084404,21.3858626,42.0068950,
310084405,21.3848925,42.0070360,
310084409,21.3842236,42.0068992,
310292917,21.4285074,41.9916079,
310423155,21.4052694,41.9966023,
310423213,21.4053796,41.9970683,
316924687,21.4376423,41.9921627,
332041655,20.9456264,42.0013752,
362127611,21.3736081,42.0043604,
365242788,21.3814972,42.0065078,
365242789,21.3809865,42.0063023,
365242790,21.3807545,42.0058537,
365242791,21.3810253,42.0055801,
365242792,21.3817445,42.0054046,
365242793,21.3820050,42.0054493,
365242794,21.3820896,42.0055363,
365291176,21.4357034,41.9912614,
365291177,21.4354164,41.9916021,
365291209,21.4354109,41.9913700,
365291210,21.4350899,41.9917511,
365291342,21.4351597,41.9927065,
365809802,21.3895057,42.0007347,
365809805,21.3900211,42.0016434,
365809806,21.3906786,42.0014172,
365809808,21.3905249,42.0007742,
365818783,21.3954338,42.0045878,
365818784,21.3953181,42.0040969,
365838351,21.4095508,41.9752719,
365838354,21.4093696,41.9753429,
365838360,21.4088609,41.9755673,
365838363,21.4085964,41.9756778,
365838366,21.4085139,41.9756797,
365838368,21.4084467,41.9755995,
365838372,21.4084884,41.9755531,
365838382,21.4092053,41.9752461,
365838511,21.4085758,41.9752701,
365838517,21.4082678,41.9753957,
365838520,21.4081852,41.9752896,
365838529,21.4085026,41.9751563,
366207619,21.4092616,41.9965414,
367156328,21.4061340,42.0097525,
367156329,21.4060159,42.0097580,
367603256,21.4080454,42.0056801,
367603260,21.4080761,42.0058283,
367603264,21.4088162,42.0057465,
367603267,21.4087591,42.0054784,
367603449,21.4080188,42.0055662,
367668371,21.3895149,42.0034510,
367694887,21.3871141,42.0034486,
367837558,21.4230878,41.9916316,
367846862,21.4052401,41.9997703,
367847649,21.4023044,42.0051520,
367847654,21.4025491,42.0060868,
367847743,21.4020450,42.0050746,
367847746,21.4023341,42.0061950,
367848961,21.4059231,41.9975105,
367848962,21.4053101,41.9975889,
367848963,21.4053311,41.9976930,
367848964,21.4047102,41.9977712,
367848965,21.4046915,41.9975470,
367848966,21.4055282,41.9974409,
367849114,21.4053994,41.9971510,
367849145,21.4048458,41.9973384,
367849146,21.4055593,41.9972467,
367851711,21.4204272,41.9986067,
367851712,21.4203889,41.9984813,
367851713,21.4206888,41.9983485,
367851723,21.4206993,41.9981300,
367851803,21.4204636,41.9987218,
367851815,21.4207829,41.9986634,
367851827,21.4207441,41.9985396,
368010106,21.4190946,42.0049410,
369320665,21.4070162,42.0135750,
369320667,21.4070544,42.0135117,
369320933,21.4057530,42.0141240,
369369985,21.4382917,41.9996055,
369387101,21.4440034,41.9973778,
369666830,21.4269278,41.9987049,
370102436,21.4380459,41.9986922,
370102473,21.4371101,41.9983373,
370597969,21.4402890,42.0135549,
370598033,21.4403776,42.0130873,
370598036,21.4380968,42.0127394,
370646720,21.4349872,41.9926255,
370923577,21.4064141,42.0110111,
370923779,21.4062391,42.0110173,
370923781,21.4061398,42.0110244,
370923782,21.4061312,42.0106302,
370923784,21.4061173,42.0105476,
370923787,21.4060079,42.0104707,
370923789,21.4059005,42.0104706,
370923795,21.4059434,42.0108011,
370924550,21.4061859,42.0099427,
373773098,21.3916041,41.9982780,
373985089,21.6294442,41.9555880,
373985098,21.6293788,41.9558330,
386740055,21.4064157,42.0142493,
386740059,21.4057727,42.0142858,
386740465,21.4071190,42.0141458,
386746691,21.4369533,41.9967812,
389925147,21.1125340,41.0654954,
389925149,21.1144910,41.0660330,
391820359,21.5082803,41.9883434,
391820360,21.5080887,41.9882967,
391820361,21.5079686,41.9882393,
391820362,21.5079085,41.9881308,
391820363,21.5078913,41.9877991,
391820364,21.5079342,41.9877097,
391820365,21.5080544,41.9876651,
391820366,21.5082432,41.9876077,
391820367,21.5085007,41.9875566,
391820368,21.5086209,41.9875502,
391820369,21.5087239,41.9877161,
391820370,21.5087410,41.9882520,
391820371,21.5085522,41.9883796,
393709977,21.4396702,41.9971595,
393752546,22.7210544,41.1868616,
393752548,22.7212384,41.1868956,
393753472,22.7209989,41.1868504,
395634133,21.4501345,41.9976219,
395635390,21.4503189,41.9980392,
395636167,21.4499130,41.9971205,
395636171,21.4497413,41.9970056,
395637021,21.4495072,41.9970561,
395638297,21.4498352,41.9978199,
395638364,21.4496747,41.9970203,
395638723,21.4500263,41.9978588,
395639620,21.4499637,41.9976635,
395639627,21.4497899,41.9977014,
410541419,21.3192965,41.0250359,
411630601,21.3119179,41.0263428,
411630604,21.3128153,41.0261486,
413526947,21.4392805,41.9918574,
413526948,21.4386243,41.9915511,
413526949,21.4381402,41.9920396,
415606104,21.4623454,42.0091343,
417293339,21.4610647,42.0030446,
428476535,21.4529874,41.9822684,
428476536,21.4538535,41.9818559,
428732429,21.7549678,41.7772147,
429694222,21.3136409,41.0283934,
429695523,21.3210651,41.0243508,
429695527,21.3197001,41.0212793,
429695530,21.3196177,41.0208915,
429984031,21.3374036,41.0303408,
429984033,21.3360943,41.0304346,
429984034,21.3362734,41.0304384,
434383263,21.3139305,41.0280222,
434383264,21.3135202,41.0269214,
434383266,21.3150016,41.0278028,
434383267,21.3151767,41.0277669,
434383268,21.3153348,41.0277345,
434383270,21.3147623,41.0266522,
434383271,21.3149242,41.0266171,
434383272,21.3145685,41.0266942,
440615406,21.4745029,41.9962810,
440615407,21.4744309,41.9964792,
441157941,22.8605227,41.7041066,
441205602,21.6288670,41.9573156,
441205604,21.6284297,41.9572398,
441206100,21.6290916,41.9559980,
441206288,21.6286405,41.9572748,
441206516,21.6289279,41.9559448,
442122714,21.3999037,41.9955550,
442664621,21.3368103,41.0303727,
442664629,21.3368065,41.0305079,
442664631,21.3358873,41.0305442,
442926568,22.2356772,41.8326348,
444360919,22.4069156,41.9631228,
444360920,22.4068625,41.9636761,
444360921,22.4069462,41.9634252,
444360922,22.4065007,41.9640471,
444360923,22.4066677,41.9631623,
444360924,22.4065947,41.9629175,
444360925,22.4066427,41.9635811,
444360926,22.4065279,41.9637817,
445789409,21.3435355,41.0112049,
445913844,21.4205126,41.9932096,
445913845,21.4213934,41.9931302,
445913846,21.4214815,41.9930531,
445913847,21.4217990,41.9929766,
445913848,21.4217390,41.9928298,
446060618,21.4772774,41.9967238,
446060619,21.4772883,41.9965618,
446278148,21.4186309,41.9926711,
446278153,21.4186531,41.9928086,
447445744,21.3163028,41.0230959,
447445750,21.3166666,41.0228480,
447445758,21.3161738,41.0225079,
447445761,21.3159817,41.0225327,
447445765,21.3158623,41.0226330,
447445769,21.3158551,41.0227638,
447445775,21.3159164,41.0228403,
447542115,21.3128251,41.0285395,
447793209,21.4165860,41.9932903,
447793211,21.4158683,41.9934001,
447877774,21.3433087,41.0118128,
447927518,21.4470395,41.9898996,
447927523,21.4469597,41.9898279,
448142959,21.3157472,41.0229737,
448142960,21.3161246,41.0232246,
450656154,21.3366710,41.0225592,
450656155,21.3362180,41.0223811,
450656160,21.3363029,41.0231275,
450663276,21.3361343,41.0223063,
456906213,21.3360836,41.0302031,
457401717,21.3371303,41.0303487,
457830110,21.3147244,41.0231143,
460987361,21.4021880,41.9991217,
470938377,21.4561238,41.9829485,
470955666,21.4565946,41.9848593,
470955667,21.4572126,41.9845658,
470955944,21.4568729,41.9846349,
470955946,21.4568857,41.9847210,
473215180,21.7102212,42.1614502,
474754266,21.4196317,41.9939538,
474754292,21.4188070,41.9940884,
474754299,21.4183597,41.9940221,
474754305,21.4204496,41.9936600,
474754542,21.4195966,41.9938304,
474755769,21.4127894,41.9946862,
474756791,21.4128307,41.9949131,
474756798,21.4118615,41.9950524,
474756812,21.4118891,41.9951872,
474756822,21.4142676,41.9949188,
474757093,21.4128636,41.9950825,
474760322,21.4055539,41.9965634,
474760902,21.4056589,41.9970275,
474765846,21.3901164,42.0020488,
474765863,21.3902186,42.0024869,
474771070,21.4280489,41.9910245,
474771423,21.4255637,41.9921958,
474771427,21.4258695,41.9925499,
474771437,21.4260507,41.9923775,
474771669,21.4262285,41.9923014,
474771953,21.4262704,41.9926378,
476067499,21.3108687,41.0314095,
476067517,21.3102954,41.0329543,
476581307,21.4478317,41.9892963,
476581530,21.4479070,41.9893658,
480255875,21.4355553,41.9914372,
480287665,21.4226652,41.9916670,
480296481,21.4160897,41.9942554,
480296492,21.4168140,41.9941664,
480479971,21.4329272,42.0155306,
480479972,21.4326230,42.0155095,
480479977,21.4325546,42.0184458,
480488638,21.4090587,41.9945451,
480861805,21.3861854,42.0035802,
480869331,21.3842263,42.0024403,
480891659,21.3923799,42.0026283,
480892184,21.3921360,42.0026579,
480892191,21.3922453,42.0030855,
480893348,21.3913679,41.9995467,
480893361,21.3914925,42.0002038,
480912225,21.3859397,42.0075737,
480912321,21.3860178,42.0079206,
480912862,21.3988386,42.0026847,
480912973,21.3987024,42.0029555,
480913431,21.3963930,42.0032716,
480913437,21.4003070,42.0027374,
480913447,21.4004583,42.0033118,
480913451,21.4007263,42.0032759,
480913455,21.4009247,42.0033709,
480913522,21.4012094,42.0026279,
480913524,21.4004283,42.0027300,
480913821,21.3945451,42.0032719,
480914028,21.3946264,42.0035091,
480914029,21.3956063,42.0033757,
480914447,21.3985133,42.0027290,
480940053,21.4690700,41.9987026,
483357711,21.4338128,42.0114428,
483357779,21.4336299,42.0108545,
483357788,21.4333497,42.0113371,
483357790,21.4333980,42.0110528,
488852853,22.3461774,42.2120450,
488852857,22.3467189,42.2119121,
488852861,22.3462824,42.2121283,
488852863,22.3466992,42.2120399,
496318562,21.4204762,41.9932216,
496330323,21.4092044,41.9963075,
496496252,21.5086981,41.9876140,
496496262,21.5087153,41.9883222,
496496264,21.5086466,41.9883605,
504960672,21.3132210,41.0269675,
504961953,21.3123495,41.0273258,
505028425,21.4054284,42.0113893,
513836395,22.7761925,41.9634503,
577539657,21.4341399,42.0185695,
577539678,21.4324395,42.0192063,
673422841,21.4440026,41.9774502,
673422843,21.4438993,41.9773449,
673422844,21.4442998,41.9769571,
709049161,21.4076258,42.0148662,
709055736,21.4203772,41.9929531,
709055745,21.4187594,41.9931585,
729897781,21.4205855,41.9928942,
829599526,21.3966744,41.9954954,
1021426980,20.9708031,42.0085727,
1145801104,21.3191707,41.0244263,
1375310191,21.6292026,41.9575369,
1375310197,21.3754731,41.9760476,
1375310204,21.3752332,41.9761912,
1375310223,21.6287575,41.9578545,
